Packet Size
51
-45
45
45
45
45
-47
45
48
45
45
45
45
45
45
45
48
45
48
45
48
45
51
45
51
45
48
45
45
45
45
45
48
-47
-45
-47
-50
45
48
45
48
-47
-45
-47
-50
45
