Packet Size,Direction
67,B to A
45,A to B
47,A to B
63,A to B
67,B to A
45,A to B
47,A to B
63,A to B
57,B to A
45,A to B
49,A to B
63,A to B
67,B to A
45,A to B
47,A to B
54,A to B
56,B to A
45,A to B
52,A to B
67,B to A
45,A to B
47,A to B
63,A to B
56,B to A
45,A to B
49,A to B
63,A to B
67,B to A
45,A to B
47,A to B
54,A to B
56,B to A
45,A to B
52,A to B
67,B to A
45,A to B
47,A to B
54,A to B
56,B to A
45,A to B
52,A to B
67,B to A
45,A to B
47,A to B
63,A to B
57,B to A
45,A to B
49,A to B
63,A to B
67,B to A
45,A to B
47,A to B
56,A to B
56,B to A
45,A to B
49,A to B
56,A to B
67,B to A
45,A to B
47,A to B
53,A to B
58,B to A
45,A to B
49,A to B
53,A to B
56,A to B
54,A to B
50,B to A
45,A to B
50,B to A
50,B to A
50,B to A
50,B to A
45,A to B
50,B to A
45,A to B
56,A to B
54,A to B
53,A to B
53,A to B
53,A to B
53,A to B
56,A to B
54,A to B
50,B to A
45,A to B
50,B to A
45,A to B
50,B to A
45,A to B
56,A to B
54,A to B
53,A to B
