AbsoluteSum,CumulativeSum
0,0
1679,365
3412,536
5130,786
6859,1391
8691,2167
10421,2873
12145,3321
13923,3817
15622,3920
17429,4287
19150,4722
20831,5499
22506,5998
24289,5729
25945,6737
27649,6821
29403,5983
31031,6531
32708,6588
34367,7383
36001,8693
37771,9059
39362,10110
40996,10880
42744,10792
44415,11707
46050,12248
47702,12698
49470,13170
51177,13581
52807,14563
54452,15208
56067,16283
57840,16652
59463,17843
61194,17954
62820,18716
64503,18939
66182,19092
67964,20010
69719,20185
71438,20548
73213,21583
74938,22384
76810,20692
78546,20632
80220,21092
81901,21559
83582,22012
85314,22430
86984,22788
88647,23123
90333,23481
92012,24146
93739,24745
95414,25506
97088,25966
98759,26309
100451,26887
102167,27275
103851,27845
105536,28402
107212,28664
108892,28816
110614,29424
112287,29869
113960,30444
115651,31007
117321,31563
119054,32068
120724,32410
122408,32680
124088,33072
125779,32927
127464,33892
129101,34617
130767,34341
132478,34522
134209,34741
135864,35748
137482,36690
139248,37484
140864,38344
142513,39129
144242,39600
145947,40765
147686,41348
149455,41869
151219,41285
