AbsoluteSum,CumulativeSum
0,0
2112,580
4465,2081
6590,3056
8736,3580
10848,4358
13012,5194
15121,5975
17284,6702
19393,7483
21566,8416
23659,9087
25819,9827
27939,10693
30100,11516
32193,12187
34474,13332
36800,14620
39043,15719
41155,16503
43381,17585
45490,18366
47637,18999
49796,19730
51923,20603
54087,21439
56228,22346
58380,23092
60645,24123
62825,24975
64937,25753
67103,26691
69204,27360
71368,28196
73477,29067
75603,29481
77727,30367
79870,31088
81979,31869
84341,33177
86445,33853
88591,34577
90700,35358
92862,36086
95031,36917
97129,37593
99293,38429
101417,39315
103560,40036
105669,40817
107826,41640
109937,42433
112093,43155
114202,43928
116364,44652
118499,45561
120750,46478
122868,47264
125042,48200
127128,48768
129296,49704
131405,50395
133568,51212
135676,51994
137836,52822
139997,53655
142109,54433
144290,55466
146386,56050
148560,56876
150761,57845
152917,58683
155028,59452
157192,60288
159298,60976
161472,62002
163574,62580
165727,63317
167840,64188
170040,65148
172138,65824
174564,67200
176680,68084
179041,69399
181154,70168
183389,71185
185550,71900
187690,73002
189845,73723
191954,74414
194111,75237
196230,76020
198586,77334
200690,78202
202853,78921
204961,79599
207109,80235
209218,81016
211389,81949
213498,82512
215745,83419
218037,85241
220480,87684
222960,90164
225691,92445
228345,95009
231033,97237
233504,98924
236030,100642
238401,101893
240815,104307
243256,106748
245715,108577
248239,110295
250360,110626
252720,111102
255257,113257
257898,115448
260454,117554
263016,119566
265334,120918
267592,121716
269740,122438
271926,123308
274391,125021
276738,126404
278984,127498
281477,129425
284228,132176
286491,133385
289048,135470
291154,136158
293338,137104
295437,137599
297605,137979
299798,139028
302032,139926
304189,140747
306375,141599
308458,141782
310626,142718
312752,143604
314881,143825
317025,144743
319194,145578
321305,146371
323573,147485
325668,147952
328021,149263
330207,150121
