AbsoluteSum,CumulativeSum
0,0
1365,807
2722,1246
4163,2411
5737,3985
7034,4454
8359,5041
9873,6465
11444,7940
12722,8390
14076,8742
15583,10159
17207,11783
18620,12824
20236,14440
21575,14765
22870,15502
24206,16272
25503,17287
26824,17600
28109,18237
29436,18736
30723,19465
32051,19785
33327,20117
34663,20895
35952,21530
37283,22219
38613,22895
39891,23519
41210,23920
42488,24280
43821,24959
45088,25308
46420,25812
47694,26162
49022,26564
50302,27286
51627,27783
52908,28146
54242,28922
55580,29516
56858,29966
58183,30829
59481,31485
60816,32260
62092,33536
63441,34789
64749,35083
66152,35574
67493,36177
68833,36671
70094,36288
71411,36383
72697,35913
74025,36149
75345,36641
76624,37176
77991,38171
79276,38634
80665,39555
81948,39914
83307,40343
84581,40687
85904,40802
87172,41230
88543,42139
89852,42530
91205,43133
92522,43448
93802,44170
95117,44567
96387,44925
97718,45512
99007,46243
100426,47116
101753,47615
103085,48299
104381,48947
105701,49071
107038,49676
108401,50481
109757,50613
111182,51486
112511,52077
113845,52853
115205,53655
116636,54444
117963,54745
119246,55380
120578,56154
121849,56687
123170,57270
124473,58193
125803,58605
127121,59005
128397,59363
129727,59865
131011,60417
132338,60814
133610,61252
134944,61944
136234,62482
137557,62977
138839,63245
140210,64058
141493,64499
142822,64718
144110,65262
145446,65854
146779,66443
148196,67480
149516,67876
150784,67860
152121,68543
153397,68901
154715,69211
156000,69938
157327,70527
158607,70875
160064,71774
161344,72316
162660,72450
163990,73126
165268,73666
166586,73802
167868,74332
169187,74637
170499,75301
171828,75340
173228,76272
174580,76880
175891,77529
177220,78126
178505,78673
179831,79255
181159,79659
182437,80019
183762,80512
185044,81046
186374,81722
187661,82451
188994,83040
190276,83764
191604,83886
192889,84613
194205,84921
195485,85373
196806,85866
198146,86550
