Direction,Source,Destination,Packet Size
send,0x0000,0xdd43,57
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,45
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,53
receive,0xdd43,0x0000,52
receive,0xdd43,0x0000,53
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,53
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,52
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,53
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,53
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,53
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,52
receive,0xdd43,0x0000,53
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
send,0x0000,0xdd43,57
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,45
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,53
receive,0xdd43,0x0000,52
receive,0xdd43,0x0000,53
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,53
receive,0xdd43,0x0000,52
receive,0xdd43,0x0000,57
receive,0xdd43,0x0000,52
receive,0xdd43,0x0000,53
receive,0xdd43,0x0000,57
receive,0xdd43,0x0000,53
send,0x0000,0xdd43,54
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,57
send,0x0000,0xdd43,54
send,0x0000,0xdd43,54
send,0x0000,0xdd43,54
send,0x0000,0xdd43,54
send,0x0000,0xdd43,54
send,0x0000,0xdd43,50
send,0x0000,0xdd43,50
send,0x0000,0xdd43,50
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,57
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,57
receive,0xdd43,0x0000,57
receive,0xdd43,0x0000,57
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,45
send,0x0000,0xdd43,54
send,0x0000,0xdd43,54
send,0x0000,0xdd43,54
send,0x0000,0xdd43,50
send,0x0000,0xdd43,50
send,0x0000,0xdd43,50
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
send,0x0000,0xdd43,50
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,45
send,0x0000,0xdd43,54
send,0x0000,0xdd43,50
receive,0xdd43,0x0000,57
receive,0xdd43,0x0000,57
receive,0xdd43,0x0000,45
receive,0xdd43,0x0000,45
send,0x0000,0xdd43,54
send,0x0000,0xdd43,54
