Packet Size,Direction
54,A to B
57,A to B
54,A to B
54,B to A
50,B to A
45,A to B
54,B to A
50,B to A
45,A to B
57,A to B
54,B to A
50,B to A
45,A to B
57,A to B
45,A to B
53,A to B
57,A to B
53,A to B
49,B to A
45,B to A
54,B to A
54,A to B
57,A to B
54,A to B
50,B to A
50,B to A
45,A to B
54,A to B
45,A to B
57,A to B
57,A to B
57,A to B
54,A to B
54,A to B
45,A to B
45,B to A
50,B to A
45,A to B
57,A to B
45,A to B
54,B to A
50,B to A
45,A to B
57,A to B
45,A to B
54,B to A
54,B to A
53,A to B
57,A to B
53,A to B
49,B to A
50,B to A
45,A to B
57,A to B
45,A to B
50,B to A
45,B to A
45,A to B
57,A to B
45,A to B
54,A to B
57,A to B
54,A to B
54,B to A
50,B to A
45,A to B
45,A to B
57,A to B
45,A to B
50,B to A
45,A to B
57,A to B
45,A to B
54,B to A
54,B to A
53,A to B
57,A to B
53,A to B
49,B to A
50,B to A
50,B to A
50,B to A
45,A to B
45,A to B
45,B to A
45,A to B
50,B to A
45,A to B
57,A to B
45,A to B
57,A to B
45,A to B
45,A to B
45,A to B
