Packet Size,Direction
55,A to B
63,A to B
45,B to A
55,A to B
63,A to B
45,B to A
55,A to B
63,A to B
45,B to A
77,A to B
57,A to B
55,A to B
57,A to B
45,B to A
50,B to A
55,A to B
55,A to B
63,A to B
45,A to B
45,B to A
56,B to A
55,A to B
55,A to B
57,A to B
45,A to B
45,B to A
45,B to A
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
68,A to B
68,A to B
68,A to B
68,A to B
51,A to B
51,A to B
51,A to B
51,A to B
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
68,A to B
68,A to B
68,A to B
68,A to B
51,A to B
51,A to B
51,A to B
51,A to B
55,A to B
55,A to B
55,A to B
55,A to B
68,A to B
68,A to B
68,A to B
51,A to B
51,A to B
51,A to B
51,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
57,A to B
55,A to B
49,A to B
72,A to B
72,A to B
49,B to A
49,B to A
77,A to B
77,A to B
57,A to B
77,A to B
57,A to B
55,A to B
57,A to B
45,B to A
55,A to B
55,A to B
56,A to B
45,B to A
55,A to B
57,A to B
45,B to A
55,A to B
57,A to B
45,B to A
57,A to B
56,B to A
55,A to B
55,A to B
57,A to B
45,A to B
45,B to A
50,B to A
55,A to B
77,A to B
51,A to B
45,A to B
45,B to A
62,B to A
55,A to B
55,A to B
101,A to B
45,A to B
45,B to A
50,B to A
55,A to B
55,A to B
45,A to B
65,A to B
45,B to A
50,B to A
55,A to B
51,A to B
45,A to B
45,B to A
50,B to A
55,A to B
55,A to B
77,A to B
51,A to B
45,A to B
45,B to A
50,B to A
55,A to B
50,B to A
55,A to B
45,A to B
50,B to A
55,A to B
45,A to B
67,B to A
55,A to B
55,A to B
47,A to B
45,A to B
45,B to A
57,B to A
77,A to B
55,A to B
55,A to B
49,A to B
45,A to B
45,B to A
67,B to A
55,A to B
55,A to B
47,A to B
45,A to B
45,B to A
50,B to A
55,A to B
45,A to B
56,B to A
55,A to B
55,A to B
49,A to B
45,A to B
45,B to A
50,B to A
55,A to B
45,A to B
56,B to A
55,A to B
55,A to B
55,A to B
57,A to B
45,A to B
45,B to A
55,A to B
65,A to B
45,B to A
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
49,A to B
52,A to B
52,A to B
52,A to B
52,A to B
55,A to B
55,A to B
55,A to B
52,A to B
52,A to B
49,B to A
49,B to A
55,A to B
49,B to A
49,B to A
60,B to A
60,B to A
49,A to B
60,B to A
49,B to A
60,B to A
55,A to B
55,A to B
49,A to B
49,B to A
55,A to B
49,B to A
49,B to A
49,B to A
55,A to B
49,B to A
57,A to B
57,A to B
45,A to B
49,A to B
45,A to B
45,A to B
49,A to B
57,A to B
49,B to A
49,B to A
57,A to B
49,B to A
45,A to B
49,B to A
49,B to A
54,B to A
54,B to A
54,B to A
54,B to A
49,B to A
54,B to A
54,B to A
55,A to B
55,A to B
55,A to B
49,A to B
55,A to B
51,A to B
49,A to B
45,A to B
45,A to B
45,A to B
45,A to B
51,A to B
49,B to A
49,B to A
45,A to B
54,B to A
54,B to A
54,B to A
54,B to A
45,A to B
54,B to A
54,B to A
55,A to B
49,A to B
45,A to B
45,A to B
54,B to A
55,A to B
49,A to B
45,A to B
45,A to B
45,A to B
54,B to A
54,B to A
55,A to B
55,A to B
55,A to B
55,A to B
49,A to B
45,A to B
45,A to B
54,B to A
54,B to A
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
49,A to B
51,A to B
45,A to B
45,A to B
45,A to B
55,A to B
55,A to B
55,A to B
55,A to B
45,A to B
55,A to B
49,A to B
60,B to A
60,B to A
60,B to A
55,A to B
55,A to B
55,A to B
55,A to B
55,A to B
49,A to B
49,A to B
55,A to B
57,A to B
57,A to B
57,A to B
49,A to B
45,A to B
45,A to B
57,A to B
57,A to B
49,B to A
49,B to A
