File1,File2,Average Distance
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_1.csv,12.69999816565692
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_13.csv,33.96868621176061
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_39.csv,10.300217444363234
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_11.csv,16.302915879125035
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_3.csv,20.125338778640646
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_2.csv,11.554769754699288
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_10.csv,15.850219677129086
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_38.csv,29.99082381162897
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_14.csv,22.601619792006602
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_28.csv,27.120155018327775
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_6.csv,18.80994414804532
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_7.csv,21.333698502442992
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_29.csv,33.364721651687944
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_15.csv,20.787718887760956
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_17.csv,10.851095703508136
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_5.csv,24.12124177602251
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_4.csv,25.17926627524936
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_16.csv,20.91067826311551
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_48.csv,20.95476173150682
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_44.csv,13.944429025224366
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_45.csv,23.376828218550273
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_47.csv,16.18003870918671
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_46.csv,21.486656311179456
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_42.csv,10.670899813454554
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_43.csv,23.80332819619124
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_41.csv,16.425729700760996
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_40.csv,20.63477714980883
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_33.csv,11.782973805338171
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_27.csv,14.800189639855963
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_9.csv,21.645406660209552
outdoormotionsensor_segment_12.csv,outdoormotionsensor_segment_8.csv,13.867722323040486
