AbsoluteSum,CumulativeSum
0,0
2116,292
4242,1032
6462,1928
8590,2760
10712,2938
12894,3740
15039,4781
17178,5630
19342,6228
21460,6324
23572,6516
25739,7025
27854,7406
29980,7882
32141,8309
34245,8409
36409,8833
38544,9132
40679,10061
42937,10951
45060,11514
47204,12368
49391,13151
51528,13782
53641,14593
55804,14932
57988,15728
60099,16267
62268,16960
64423,17825
66593,18597
68711,19413
70846,20238
73022,21028
75155,21955
77277,22601
79450,23214
81570,24026
83690,24670
85862,25540
87982,26358
90114,26808
92278,27304
94398,27942
96564,28710
98694,29538
100816,30178
102990,31046
105186,32290
107371,32609
109538,31980
111678,31768
113793,31751
115960,31620
118088,31360
120241,31927
122409,32073
124531,32713
126682,33472
128871,34455
131004,35472
133181,36175
135322,37106
137451,37483
139636,38084
141788,39132
143981,40119
146168,41016
148294,41666
150438,42786
152630,43858
154762,44700
156894,45362
159082,46530
161212,47190
163398,48072
165534,48996
167682,50214
169847,50069
171960,50166
174080,50822
176253,51435
178390,52456
180520,53116
182705,53897
184837,54739
186948,55026
189118,55642
191244,56362
193435,57533
195549,57997
197681,58839
199844,59178
201980,60102
204112,60944
206290,61826
208424,62676
210577,63713
212745,64411
214865,64887
216990,65368
219174,66262
221298,67180
223455,68317
225634,69018
227754,69494
229941,70277
232073,70747
234206,71674
236392,72660
238549,72945
240684,73784
242859,74579
244991,75601
247146,76634
249314,77242
251442,77720
253574,78638
255733,78589
257867,79259
260043,80139
262173,80715
264305,81467
266482,82090
268624,83116
270752,83954
272919,84369
275052,85386
277177,85867
279359,86669
281493,87513
283645,88541
285808,89060
287949,89467
290183,90483
292332,91606
294593,92763
296725,92345
298875,92281
300951,90979
303205,90609
305343,90515
307446,90140
309659,90043
311767,90225
313912,90582
316102,91098
318193,90357
320355,90791
