AbsoluteSum,CumulativeSum
0,0
714,714
1431,1431
2199,2199
2913,2913
3603,3087
4312,3596
4961,3967
5675,4681
6446,5452
7160,6166
7931,6937
8645,7651
9359,8365
10127,9133
10841,9847
11555,10561
12320,11326
13018,11492
13725,11901
14422,12410
15133,13121
15898,13886
16612,14600
17326,15314
18091,16079
18778,16550
19538,17212
20252,17926
20963,18637
21734,19408
22448,20122
23162,20836
23933,21607
24647,22321
25334,22168
26056,22790
26715,23073
27474,23832
28185,24543
28899,25257
29667,25701
30333,26067
31012,26558
31783,27329
32497,28043
33268,28814
33982,29528
34699,30245
35467,31013
36181,31727
36889,32435
37654,33200
38368,33914
39136,34682
39840,35178
40543,35783
41314,36554
42028,37268
42745,37985
43513,38753
44230,39470
44944,40184
45712,40952
46429,41669
47200,42440
47914,43154
48631,43871
49402,44642
50116,45356
50833,46073
51601,46841
52292,46684
53019,47211
53669,47485
54386,48202
55154,48970
55871,49687
56585,50401
57356,51172
58070,51886
58841,52657
59555,53371
60272,54088
61043,54859
61757,55573
62471,55963
63183,56277
63828,56544
64599,57315
