AbsoluteSum,CumulativeSum
0,0
1111,451
2215,981
3324,1418
4421,1859
5583,2457
6674,2888
7776,3338
8870,3664
10036,4368
11177,4659
12288,5196
13404,5644
14494,5982
15687,6609
16789,7051
17889,7479
18996,7824
20102,8272
21242,8652
22353,9103
23468,9650
24650,10170
25758,10642
26918,11120
28020,11470
29128,11920
30232,12356
31613,13557
32714,13998
33815,14435
34919,14783
36022,15314
37172,15616
38275,16047
39401,16689
40498,17024
41595,17465
42756,18158
43897,19203
44976,19344
46080,19888
47251,20385
48344,20818
49442,21258
50543,21787
51659,22423
52823,23105
53943,23937
55047,24481
56165,25311
57320,25804
58421,26241
59544,26786
60631,26939
61928,27960
63090,28360
64199,28885
65306,29230
66398,29666
67502,30208
68665,30699
69765,30937
70872,31382
71983,32015
73138,32418
74238,32756
75348,33094
76448,33532
77553,34171
78702,34562
79808,34998
80909,35439
82015,35781
83123,36221
84278,36624
85371,36969
86471,37397
87586,37850
88838,38640
90162,39674
91260,40000
92371,40451
93472,40888
94630,41278
95727,41719
96845,42169
97947,42615
99227,43607
100328,44048
101442,44588
102550,45420
103650,45954
104932,46858
106030,47106
107131,47543
108238,47894
109371,48369
110598,49024
111709,49461
112806,49796
113910,50244
115059,50735
116181,51275
117269,51513
118380,52050
119496,52498
120609,52583
121719,53031
122830,53468
123927,53803
125024,54244
126193,54855
127291,55293
128379,55533
129473,55869
130751,56667
131938,57282
133049,57719
134150,58160
135253,58505
136478,59172
137706,59928
138816,60456
139918,60806
141076,61206
142172,61740
143298,62286
144393,62631
145499,63063
146670,63566
147760,63904
148853,64249
149960,64780
151057,65221
152207,65819
153312,66152
154414,66592
155510,66940
156666,67524
157837,67821
158923,68057
160024,68494
161145,69037
162287,69427
163385,69777
164501,70119
165633,70303
166736,70468
167892,71064
169001,71499
170100,71748
171207,72177
172357,72675
173455,73125
174570,73558
175675,74001
176777,74445
177907,74625
179002,74768
180104,75118
181212,75468
182462,76246
183588,76800
184697,77235
185806,77588
186896,77926
188035,78409
189135,78747
190241,79079
191342,79520
192440,79960
193579,80351
194868,81360
195980,81990
197086,82626
198240,83314
199356,83952
200453,84187
201560,84638
202659,85079
203823,85661
204914,85902
206020,86244
207138,86884
208224,87122
209379,87615
210485,87957
211585,88295
212700,88748
213855,89441
214945,89579
216055,90027
217163,90567
218249,90805
219411,91305
220520,91740
221627,92085
222722,92428
223865,92625
