AbsoluteSum,CumulativeSum
0,0
1025,647
2066,1142
3011,1349
4163,2411
5380,3628
6343,4135
7374,4794
8312,4994
9470,6062
10683,7275
11731,8131
12722,8390
13733,8675
14777,9353
15986,10562
17146,11722
18291,12681
19430,13634
20519,14441
21530,14810
22489,15211
23491,15747
24494,16560
25456,17240
26445,17677
27446,17946
28393,18335
29389,18689
30340,19268
31345,19721
32333,19781
33282,20072
34282,20700
35285,21241
36235,21813
37238,22264
38180,22648
39178,23274
40175,23617
41111,23821
42105,24083
43056,24572
44051,25003
45043,25353
45994,25662
46984,25824
47980,26358
48927,26659
49921,27091
50872,27580
51862,27832
52856,28094
53814,28680
54815,29123
55769,29705
56765,30059
57752,30584
58715,31175
59722,31546
60716,32160
61660,33104
62676,34024
63640,34988
64649,35079
65635,35147
66736,35876
67725,36223
68733,36571
69666,36508
70664,36294
71606,36388
72602,35914
73596,35996
74543,36391
75535,36645
76481,37219
77477,37753
78519,38513
79503,38861
80523,39413
81517,39849
82503,40193
83491,40437
84434,40636
85432,40696
86423,41039
87362,41234
88375,41971
89412,42456
90395,42791
91394,43322
92333,43355
93324,43878
94313,44135
95259,44619
96248,44786
97197,45273
98198,45806
99201,46347
100167,46857
101289,47697
102276,47862
103235,48449
104241,48987
105180,48916
106181,49365
107250,49888
108212,50382
109232,50454
110250,51016
111321,51535
112320,51886
113324,52614
114339,53161
115349,53709
116439,54343
117438,54694
118387,54893
119385,55519
120389,55965
121326,56530
122327,56979
123312,57312
124275,57995
125282,58630
126224,58750
127216,59010
128212,59364
129163,59583
130162,60114
131104,60324
132100,60576
133089,61013
134034,61490
135041,61951
136045,62293
136989,62685
137985,63045
138931,63337
139940,63788
140973,64255
141925,64553
142921,64817
143922,65260
144877,65657
145879,66101
146826,66490
147943,67227
148946,67492
149884,67608
150877,67857
151832,68440
152824,68874
153820,69138
154762,69258
155763,69797
156759,70325
157708,70538
158702,70880
159782,71678
160776,72030
161765,72287
162708,72402
163708,73030
164650,73330
165651,73863
166634,73754
167581,74235
168580,74762
169568,74832
170547,75253
171537,75415
172609,75839
173605,76373
174625,76925
175609,77433
176607,77879
177601,78231
178553,78625
179549,79159
180498,79466
181491,79805
182482,80064
183426,80366
184426,80800
185378,81194
186374,81722
187373,82163
188324,82742
189327,83283
190326,83814
191268,83826
192267,84177
193216,84664
194205,84921
195195,85083
196144,85660
197146,86206
198146,86550
