,AbsoluteSum,CumulativeSum
0,0,0
9,470,368
18,905,333
27,1359,507
36,1827,779
45,2261,843
55,2797,1189
64,3342,1554
73,3811,1819
82,4238,1606
91,4686,1858
101,5185,1987
110,5723,2221
119,6184,2592
128,6629,2657
137,7078,2726
147,7618,3170
156,8084,3266
165,8696,3778
174,9389,4471
183,9955,4937
193,10453,5055
202,11065,5567
211,11758,6260
220,12381,6781
229,12825,6955
238,13277,7117
248,13838,7388
257,14323,7777
266,14757,7751
275,15369,8263
284,16062,8956
294,16832,9726
303,17525,10419
312,18045,10837
321,18484,10806
330,18941,11073
340,19456,11302
349,19895,11371
358,20424,11800
367,20853,11579
376,21470,11996
386,22093,12517
395,22547,12791
404,22990,12758
413,23452,13020
422,23894,13082
431,24587,13775
441,25257,14445
450,25695,14121
459,26135,14095
468,26578,13788
477,27089,13909
487,27582,13920
496,28007,13495
505,28474,13866
514,28909,13831
523,29404,13644
533,29891,13661
542,30345,13925
551,30803,14097
560,31296,14120
569,31862,14586
579,32355,14599
588,32872,14744
597,33307,14599
606,33821,14547
615,34250,14118
624,34702,14290
634,35228,14526
643,35684,14702
652,36125,14661
661,36552,14234
670,36994,14206
680,37493,14317
689,37937,14491
698,38395,14649
707,38848,14722
716,39302,14986
726,39878,15272
735,40316,14948
744,40745,14519
753,41170,14094
762,41684,14042
772,42200,14268
781,42667,14445
790,43360,15138
799,44053,15831
808,44746,16524
817,45345,17123
827,45840,17138
836,46296,17404
845,46795,17613
854,47293,18009
863,47732,17978
873,48231,18197
882,48699,18469
891,49133,18533
900,49604,18802
909,50038,18866
919,50545,19083
928,51005,19257
937,51444,19326
946,51897,19579
955,52350,19652
965,52866,19966
974,53300,20030
983,53752,20192
992,54212,20366
1001,54656,20540
1011,55142,20454
1020,55584,20316
1029,56027,20093
1038,56480,20256
1047,56934,20418
1056,57375,20589
1066,57877,20701
1075,58327,20865
1084,58791,21239
1093,59232,21198
1102,59703,21669
1112,60193,21689
1121,60645,21761
1130,61105,22125
1139,61547,22097
1148,62010,22458
1158,62497,22475
1167,62951,22649
1176,63419,22921
1185,63853,22985
1194,64337,23269
1204,64838,23490
1213,65369,23821
1222,65992,24342
1231,66446,24616
1240,66898,24778
1249,67345,24855
1259,67858,25172
1268,68297,25141
1277,68936,25780
1286,69456,26198
1295,69895,26167
1305,70404,26486
1314,70867,26663
1323,71296,26722
1332,71838,27062
1341,72299,27433
1351,72796,27550
1360,73248,27622
1369,73711,27989
1378,74150,27958
1387,74789,28597
1397,75357,28961
1406,75799,28933
1415,76253,29197
1424,76716,29374
1433,77155,29443
1442,77677,29763
1452,78186,30092
1461,78641,30257
1470,79090,30326
1479,79553,30693
1488,79992,30662
1498,80649,31129
1507,81189,31279
1516,81741,31729
1525,82175,31793
1534,82627,31955
1544,83142,32184
1553,83581,32253
1562,84139,32711
1571,84832,33404
1580,85373,33843
1590,85862,33962
1599,86314,34124
1608,86774,34298
1617,87218,34472
1626,87678,34632
1635,88131,34795
1645,88640,35012
1654,89084,35186
1663,89536,35348
1672,89988,35510
1681,90455,35881
1691,90941,35795
1700,91405,36169
1709,91850,36234
1718,92299,36303
1727,92762,36670
1737,93256,36694
1746,93838,37276
1755,94531,37969
1764,95175,38513
1773,95638,38686
1783,96137,38893
1792,96591,39167
1801,97043,39329
1810,97495,39401
1819,97955,39765
1829,98442,39782
