,AbsoluteSum,CumulativeSum
0,0,0
100,4987,1231
201,10027,2491
302,15081,4263
403,20103,6219
504,25259,6703
605,30337,6959
706,35347,8297
807,40363,10585
908,45435,13939
1009,50521,17311
1110,55557,18357
1211,60719,20243
1312,65925,22941
1413,70969,24421
1514,76048,25476
1615,81245,27515
1716,86608,27756
1817,92169,28359
1918,97899,29241
2019,103166,30774
2120,108341,32083
2221,113613,33479
2322,118795,35813
2423,123946,37056
2524,129133,38265
2625,134323,39201
2726,139480,40578
2827,144623,41401
2928,149723,43261
3029,154888,43382
3130,160242,44306
3231,165299,45339
3332,170321,47249
3433,175428,49682
3534,180515,51565
3635,185348,53844
3736,190583,54767
3837,195924,56384
3938,201019,57223
4039,206064,58728
4140,210980,60644
4241,215961,62789
4342,220989,64793
4443,226016,66768
4544,230953,68287
4645,235925,70883
4746,240929,72577
4847,246056,74136
4948,251221,75917
5049,256381,77805
5150,261555,79599
5251,266712,81192
5352,271895,83435
5453,277029,85005
5554,282142,85788
5655,287405,82803
5756,292455,77753
5857,298508,71700
5958,304819,65389
6059,310179,60029
6160,315319,54889
6261,320407,49801
6362,325538,44670
6463,330799,41239
6564,336300,42920
6665,342006,47390
6766,347366,48674
6867,352577,50455
6968,357666,51794
7069,363058,52546
7170,368286,53058
7271,373468,54232
7372,378465,56035
7473,383492,58234
7574,388794,60874
7675,394480,63000
7776,399480,63806
7877,404541,65237
7978,409631,67291
8079,414925,68299
8180,420017,69815
8281,425138,70986
8382,430169,72305
8483,435413,72143
8584,440670,72896
8685,445892,73590
8786,451006,74666
8887,456045,75205
8988,461018,76636
