File1,File2,Average Distance
osarm_segment_5.csv,osarm_segment_34.csv,15.894107418618459
osarm_segment_5.csv,osarm_segment_20.csv,32.51240697526767
osarm_segment_5.csv,osarm_segment_21.csv,27.892088766204747
osarm_segment_5.csv,osarm_segment_35.csv,17.34334501120307
osarm_segment_5.csv,osarm_segment_4.csv,18.555027957763553
osarm_segment_5.csv,osarm_segment_6.csv,27.210723872811357
osarm_segment_5.csv,osarm_segment_23.csv,37.56075180472622
osarm_segment_5.csv,osarm_segment_37.csv,34.38941950155754
osarm_segment_5.csv,osarm_segment_36.csv,10.821089084805314
osarm_segment_5.csv,osarm_segment_22.csv,38.983577366662935
osarm_segment_5.csv,osarm_segment_7.csv,21.953157852937302
osarm_segment_5.csv,osarm_segment_3.csv,38.17775716031744
osarm_segment_5.csv,osarm_segment_26.csv,27.82645160195429
osarm_segment_5.csv,osarm_segment_32.csv,22.989439782280503
osarm_segment_5.csv,osarm_segment_33.csv,22.316261461466652
osarm_segment_5.csv,osarm_segment_27.csv,37.39866170284967
osarm_segment_5.csv,osarm_segment_2.csv,17.10016938739257
osarm_segment_5.csv,osarm_segment_31.csv,28.978200997385567
osarm_segment_5.csv,osarm_segment_25.csv,21.16838622027526
osarm_segment_5.csv,osarm_segment_19.csv,17.573882542582005
osarm_segment_5.csv,osarm_segment_18.csv,38.41641048270263
osarm_segment_5.csv,osarm_segment_24.csv,23.5729745792882
osarm_segment_5.csv,osarm_segment_30.csv,19.417131667643257
osarm_segment_5.csv,osarm_segment_1.csv,27.888666720857707
osarm_segment_5.csv,osarm_segment_43.csv,31.801299589048725
osarm_segment_5.csv,osarm_segment_42.csv,20.88881140442242
osarm_segment_5.csv,osarm_segment_40.csv,19.31798726132668
osarm_segment_5.csv,osarm_segment_41.csv,17.882327800899873
osarm_segment_5.csv,osarm_segment_45.csv,37.23441555555154
osarm_segment_5.csv,osarm_segment_44.csv,12.421349123102086
osarm_segment_5.csv,osarm_segment_46.csv,23.915581744361535
osarm_segment_5.csv,osarm_segment_47.csv,27.053382338772135
osarm_segment_5.csv,osarm_segment_48.csv,16.839541597946315
osarm_segment_5.csv,osarm_segment_29.csv,37.56826103390463
osarm_segment_5.csv,osarm_segment_15.csv,33.10331987207017
osarm_segment_5.csv,osarm_segment_14.csv,24.575946758038686
osarm_segment_5.csv,osarm_segment_28.csv,38.983577366662935
osarm_segment_5.csv,osarm_segment_16.csv,28.11094994735794
osarm_segment_5.csv,osarm_segment_17.csv,29.245143072925426
osarm_segment_5.csv,osarm_segment_13.csv,38.44731901030856
osarm_segment_5.csv,osarm_segment_12.csv,18.63397813595856
osarm_segment_5.csv,osarm_segment_9.csv,33.79296581128586
osarm_segment_5.csv,osarm_segment_10.csv,30.878244086538015
osarm_segment_5.csv,osarm_segment_38.csv,17.42144993787905
osarm_segment_5.csv,osarm_segment_39.csv,28.951992834595213
osarm_segment_5.csv,osarm_segment_11.csv,37.39866170284967
osarm_segment_5.csv,osarm_segment_8.csv,27.74226148202568
osarm_segment_34.csv,osarm_segment_20.csv,32.26862292472158
osarm_segment_34.csv,osarm_segment_21.csv,27.720721470409202
osarm_segment_34.csv,osarm_segment_35.csv,17.35757971506627
osarm_segment_34.csv,osarm_segment_4.csv,18.557793271715294
osarm_segment_34.csv,osarm_segment_6.csv,27.055888845701713
osarm_segment_34.csv,osarm_segment_23.csv,37.217669358649175
osarm_segment_34.csv,osarm_segment_37.csv,34.10307934803724
osarm_segment_34.csv,osarm_segment_36.csv,10.950817364968128
osarm_segment_34.csv,osarm_segment_22.csv,38.61244929664604
osarm_segment_34.csv,osarm_segment_7.csv,21.883430187799245
osarm_segment_34.csv,osarm_segment_3.csv,37.82137729028882
osarm_segment_34.csv,osarm_segment_26.csv,27.65251480463517
osarm_segment_34.csv,osarm_segment_32.csv,22.91017631759382
osarm_segment_34.csv,osarm_segment_33.csv,22.239103449005942
osarm_segment_34.csv,osarm_segment_27.csv,37.05572917338718
osarm_segment_34.csv,osarm_segment_2.csv,17.118368380307583
osarm_segment_34.csv,osarm_segment_31.csv,28.781761134483837
osarm_segment_34.csv,osarm_segment_25.csv,21.11980743856871
