File1,File2,Average Distance
ledvance_segment_28.csv,ledvance_segment_14.csv,21.54107144405936
ledvance_segment_28.csv,ledvance_segment_15.csv,11.243992577249765
ledvance_segment_28.csv,ledvance_segment_29.csv,12.964857968811305
ledvance_segment_28.csv,ledvance_segment_17.csv,19.307685502833277
ledvance_segment_28.csv,ledvance_segment_16.csv,32.37323033685711
ledvance_segment_28.csv,ledvance_segment_12.csv,21.327122151510753
ledvance_segment_28.csv,ledvance_segment_13.csv,12.964857968811305
ledvance_segment_28.csv,ledvance_segment_11.csv,27.21861799238711
ledvance_segment_28.csv,ledvance_segment_39.csv,22.472090022014925
ledvance_segment_28.csv,ledvance_segment_38.csv,11.243992577249765
ledvance_segment_28.csv,ledvance_segment_10.csv,17.344004681828185
ledvance_segment_28.csv,ledvance_segment_8.csv,25.864148742196374
ledvance_segment_28.csv,ledvance_segment_48.csv,11.892849607560304
ledvance_segment_28.csv,ledvance_segment_9.csv,11.718053055348923
ledvance_segment_28.csv,ledvance_segment_2.csv,11.243992577249765
ledvance_segment_28.csv,ledvance_segment_42.csv,33.319770650614956
ledvance_segment_28.csv,ledvance_segment_43.csv,11.605081545014837
ledvance_segment_28.csv,ledvance_segment_3.csv,12.964857968811305
ledvance_segment_28.csv,ledvance_segment_1.csv,40.19785075758315
ledvance_segment_28.csv,ledvance_segment_41.csv,11.243992577249765
ledvance_segment_28.csv,ledvance_segment_40.csv,28.586786107112367
ledvance_segment_28.csv,ledvance_segment_4.csv,28.243131852088624
ledvance_segment_28.csv,ledvance_segment_44.csv,21.188995190123432
ledvance_segment_28.csv,ledvance_segment_45.csv,29.416651919080184
ledvance_segment_28.csv,ledvance_segment_5.csv,23.909555327170185
ledvance_segment_28.csv,ledvance_segment_7.csv,20.59774240482441
ledvance_segment_28.csv,ledvance_segment_47.csv,30.37211178381734
ledvance_segment_28.csv,ledvance_segment_46.csv,20.65284619471707
ledvance_segment_28.csv,ledvance_segment_6.csv,22.62227855381275
ledvance_segment_28.csv,ledvance_segment_21.csv,11.243992577249765
