Packet Size
51
51
51
-55
-55
-55
-55
-50
-45
-52
-52
45
45
45
50
-55
-45
50
-55
-45
-55
-52
45
50
-55
-45
-55
-52
45
50
-55
-45
51
-55
-55
-50
-45
45
51
-55
-55
-55
-50
-45
-52
45
45
50
-55
-45
-55
-52
45
50
-55
-45
-55
-52
45
50
-55
-45
48
-55
-55
-55
-55
-50
-50
-50
-45
-45
-52
45
-52
-52
-52
-52
45
45
50
-55
-45
50
-55
-45
48
-55
-55
-50
-45
45
48
-55
-55
-50
-45
45
48
-55
-55
-50
-45
45
50
-55
-55
-53
-45
45
50
-55
-55
-53
-45
45
50
-55
-45
50
-55
-45
-55
-55
-55
-55
-50
-45
-52
-52
45
45
45
50
-55
-45
50
-55
-45
-55
-52
45
50
-55
-45
-55
-52
45
50
-55
-45
51
-55
-55
-50
-45
45
51
-55
-55
-55
-50
-45
-52
45
45
50
-55
-45
-55
-52
45
50
-55
-45
-55
-52
45
50
-55
-45
51
-55
-55
-50
-45
45
48
-55
-55
-55
-55
-50
-45
-52
-52
45
45
45
50
-55
-45
50
-55
-45
48
-55
-55
-50
45
48
-55
-55
-50
-45
45
48
-55
-55
-50
-45
45
