Packet Size
-54
-57
-54
54
50
-45
-57
-45
-45
-57
-45
54
50
-45
-57
-45
54
50
-45
-57
-45
-53
-57
-53
49
45
-54
54
-45
-57
54
50
-45
-57
-45
54
50
-45
-57
-45
-53
-57
-53
49
45
-54
-57
-54
54
50
-45
-57
54
50
-45
-57
-45
54
-45
-53
49
-54
-57
-54
50
-45
-57
-45
50
-45
-57
-45
54
-45
-45
-53
-57
-53
49
45
